=== HASH TABLOSU RAPORU ===
Tarih: Tue Nov 04 23:48:27 TRT 2025
=== GELİŞMİŞ MOD (HashMap) ===
Toplam Öğrenci: 10001
Tablo Boyutu: 13003
Doluluk Oranı: 76,91%
Çalışma Prensibi: HashMap - Anahtar-Değer çiftleri
Ortalama İşlem Süresi: O(1) - Çok Hızlı

Anahtar: 236539417 -> Fatma      Kaya       236539417  1,60   2    K
Anahtar: 236670495 -> Hasan      Kaya       236670495  2,97   2    E
Anahtar: 236441104 -> Fatma      Demir      236441104  2,94   1    K
Anahtar: 236719637 -> Hasan      Aslan      236719637  1,19   2    E
Anahtar: 236637715 -> Mehmet     Demir      236637715  2,17   4    E
Anahtar: 236604945 -> Ahmet      Acar       236604945  3,35   1    E
Anahtar: 236097049 -> Seda       Şahin      236097049  2,50   1    K
Anahtar: 236391963 -> Fatma      Şahin      236391963  2,50   4    K
Anahtar: 236359175 -> Meryem     Öztürk     236359175  1,96   4    K
Anahtar: 236080647 -> Kerem      Acar       236080647  2,68   2    E
Anahtar: 236326412 -> Yusuf      Yılmaz     236326412  3,80   4    E
Anahtar: 236916226 -> Ayşe       Acar       236916226  3,66   2    K
Anahtar: 236031537 -> Meryem     Demir      236031537  2,84   4    K
Anahtar: 236293684 -> Mert       Demir      236293684  3,70   4    E
Anahtar: 236539451 -> Yusuf      Yılmaz     236539451  2,66   1    E
Anahtar: 236424755 -> Meryem     Aslan      236424755  3,13   2    K
Anahtar: 236588604 -> Kerem      Şahin      236588604  2,00   1    E
Anahtar: 236047933 -> Zeynep     Çelik      236047933  1,46   1    K
Anahtar: 236441146 -> Deniz      Kaya       236441146  3,83   2    K
Anahtar: 236015164 -> Fatma      Demir      236015164  2,81   3    K
Anahtar: 236228153 -> Zeynep     Acar       236228153  2,61   4    K
Anahtar: 236359227 -> Deniz      Doğan      236359227  1,90   2    K
Anahtar: 236785196 -> Zeynep     Koç        236785196  1,53   1    K
Anahtar: 236178977 -> Emre       Acar       236178977  2,11   3    E
Anahtar: 236719663 -> Ayşe       Aslan      236719663  3,98   2    K
Anahtar: 236310060 -> Ceren      Şahin      236310060  2,00   2    K
Anahtar: 236801575 -> Yusuf      Koç        236801575  1,58   1    E
Anahtar: 236670496 -> Ebru       Şahin      236670496  1,21   4    K
Anahtar: 236752416 -> Hasan      Aslan      236752416  2,55   1    E
Anahtar: 236064303 -> Deniz      Acar       236064303  1,68   3    K
Anahtar: 236129838 -> Deniz      Doğan      236129838  3,69   3    K
Anahtar: 236490278 -> Seda       Şahin      236490278  1,39   1    K
Anahtar: 236047953 -> Meryem     Aslan      236047953  2,08   3    K
Anahtar: 236768862 -> Fatma      Kaya       236768862  2,95   3    K
Anahtar: 236523101 -> Ceren      Acar       236523101  2,55   2    K
Anahtar: 236146262 -> Kerem      Koç        236146262  2,50   1    E
Anahtar: 236015190 -> Yusuf      Şahin      236015190  2,63   4    E
Anahtar: 236293727 -> Ahmet      Doğan      236293727  1,02   1    E
Anahtar: 236850772 -> Ali        Doğan      236850772  3,67   3    E
Anahtar: 236883541 -> Mehmet     Doğan      236883541  3,64   2    E
Anahtar: 236850773 -> Ayşe       Doğan      236850773  3,10   3    K
Anahtar: 236539477 -> Elif       Şahin      236539477  2,84   2    K
Anahtar: 236572245 -> Emre       Acar       236572245  2,53   4    E
Anahtar: 236064351 -> Hasan      Yılmaz     236064351  2,69   2    E
Anahtar: 236637783 -> Meryem     Koç        236637783  2,08   3    K
Anahtar: 236490326 -> Ceren      Demir      236490326  1,60   1    K
Anahtar: 236310087 -> Kerem      Koç        236310087  3,14   3    E
Anahtar: 236785227 -> Deniz      Demir      236785227  1,54   2    K
Anahtar: 236883528 -> Yusuf      Acar       236883528  3,61   4    E
Anahtar: 236031558 -> Mert       Çelik      236031558  2,71   4    E
Anahtar: 236686915 -> Fatma      Doğan      236686915  1,93   4    K
Anahtar: 236080715 -> Ceren      Acar       236080715  2,99   1    K
Anahtar: 236047947 -> İrem       Doğan      236047947  2,31   2    K
Anahtar: 236883522 -> Mert       Doğan      236883522  3,06   1    E
Anahtar: 236457594 -> Elif       Doğan      236457594  1,21   1    K
Anahtar: 236490365 -> Fatma      Çelik      236490365  2,72   3    K
Anahtar: 236637821 -> Ahmet      Çelik      236637821  1,25   1    E
Anahtar: 236310141 -> Ali        Kaya       236310141  3,60   1    E
Anahtar: 236326526 -> Ahmet      Doğan      236326526  2,12   1    E
Anahtar: 236359291 -> İrem       Yılmaz     236359291  1,68   4    K
Anahtar: 236818035 -> Mert       Yılmaz     236818035  1,87   2    E
Anahtar: 236949104 -> Ebru       Kaya       236949104  1,70   3    K
Anahtar: 236686955 -> Zeynep     Kaya       236686955  1,50   3    K
Anahtar: 236785260 -> Ceren      Doğan      236785260  3,53   3    K
Anahtar: 236719727 -> Elif       Öztürk     236719727  2,39   3    K
Anahtar: 236047973 -> Ebru       Öztürk     236047973  2,27   2    K
Anahtar: 236211810 -> Ceren      Çelik      236211810  2,68   4    K
Anahtar: 236277347 -> Burak      Aslan      236277347  3,77   3    E
Anahtar: 236211820 -> Ceren      Aslan      236211820  3,31   2    K
Anahtar: 236047977 -> Mert       Yılmaz     236047977  3,05   2    E
Anahtar: 236195433 -> Burak      Acar       236195433  3,60   2    E
Anahtar: 236801635 -> Ahmet      Şahin      236801635  2,74   2    E
Anahtar: 236080748 -> Kerem      Kaya       236080748  3,41   2    E
Anahtar: 236949149 -> Elif       Doğan      236949149  2,87   4    K
Anahtar: 236932764 -> Ayşe       Acar       236932764  2,90   2    K
Anahtar: 236490399 -> Mert       Doğan      236490399  2,67   4    E
Anahtar: 236949137 -> Mustafa    Çelik      236949137  2,75   3    E
Anahtar: 236719762 -> Ebru       Kaya       236719762  3,21   1    K
Anahtar: 236080771 -> Mert       Aslan      236080771  3,53   1    E
Anahtar: 236129921 -> Zeynep     Şahin      236129921  2,58   4    K
Anahtar: 236408452 -> Ebru       Koç        236408452  3,73   2    K
Anahtar: 236342913 -> Hasan      Doğan      236342913  1,69   3    E
Anahtar: 236785287 -> Ceren      Öztürk     236785287  2,74   4    K
Anahtar: 236162701 -> Mustafa    Şahin      236162701  3,16   3    E
Anahtar: 236261002 -> Ahmet      Yılmaz     236261002  1,78   3    E
Anahtar: 236768957 -> Kerem      Koç        236768957  1,03   4    E
Anahtar: 236326580 -> Mustafa    Şahin      236326580  1,08   4    E
Anahtar: 236687032 -> Zeynep     Öztürk     236687032  3,16   3    K
Anahtar: 236850877 -> Ebru       Yılmaz     236850877  1,28   1    K
Anahtar: 236342962 -> Meryem     Aslan      236342962  2,50   4    K
Anahtar: 236113590 -> Ahmet      Kaya       236113590  1,83   1    E
Anahtar: 236867258 -> Elif       Kaya       236867258  2,78   1    K
Anahtar: 236195516 -> Elif       Öztürk     236195516  2,56   2    K
Anahtar: 236687026 -> Ali        Çelik      236687026  3,64   1    E
Anahtar: 236015295 -> Burak      Yılmaz     236015295  3,90   2    E
Anahtar: 236949169 -> Deniz      Aslan      236949169  1,21   2    K
Anahtar: 236900016 -> Ebru       Şahin      236900016  3,83   2    K
Anahtar: 236801714 -> Mert       Acar       236801714  1,29   1    E
Anahtar: 236064445 -> Hasan      Kaya       236064445  2,56   4    E
Anahtar: 236900012 -> Mustafa    Öztürk     236900012  2,98   3    E
Anahtar: 236572330 -> Emre       Çelik      236572330  1,36   4    E
Anahtar: 236359330 -> Kerem      Kaya       236359330  2,78   3    E
Anahtar: 236932779 -> Mehmet     Kaya       236932779  2,11   1    E
Anahtar: 236342946 -> Burak      Acar       236342946  1,82   2    E
Anahtar: 236031658 -> Kerem      Aslan      236031658  3,74   3    E
Anahtar: 236424873 -> Ahmet      Çelik      236424873  2,12   1    E
Anahtar: 236211924 -> Seda       Kaya       236211924  1,41   1    K
Anahtar: 236277461 -> Ceren      Aslan      236277461  2,51   1    K
Anahtar: 236261076 -> Fatma      Aslan      236261076  1,85   2    K
Anahtar: 236965595 -> Ahmet      Çelik      236965595  3,72   1    E
Anahtar: 236457694 -> Meryem     Yılmaz     236457694  2,42   1    K
Anahtar: 236097242 -> Elif       Koç        236097242  1,71   4    K
Anahtar: 236146399 -> Burak      Şahin      236146399  1,18   3    E
Anahtar: 236801744 -> Kerem      Yılmaz     236801744  2,17   3    E
Anahtar: 236310235 -> Ali        Öztürk     236310235  1,06   2    E
Anahtar: 236900049 -> Ahmet      Acar       236900049  1,97   4    E
Anahtar: 236736205 -> Yusuf      Kaya       236736205  2,32   1    E
Anahtar: 236146375 -> Mustafa    Koç        236146375  1,13   2    E
Anahtar: 236326594 -> Mustafa    Şahin      236326594  3,26   1    E
Anahtar: 236326593 -> Fatma      Öztürk     236326593  2,18   2    K
Anahtar: 236228297 -> Emre       Yılmaz     236228297  3,74   3    E
Anahtar: 236719810 -> Mustafa    Şahin      236719810  2,45   1    E
Anahtar: 236916416 -> Emre       Demir      236916416  2,37   2    E
Anahtar: 236424904 -> Kerem      Aslan      236424904  3,90   2    E
